InstrumentID,SymbolFull
2626,BOY.L
2632,RNK.L
2658,SVS.L
2770,SSPG.L
2817,OCDO.L
2829,IQQI.DE
2835,RHIM.L
2886,BAC.RTH
2903,2B78.DE
2910,CEMG.DE
2932,IS0D.DE
2971,COFFEEB.ST
3010,FXI
3030,LQDE.L
3036,IAPD.L
3059,IS3L.DE
3121,EWW
3149,DGRO
3190,GLDM
3208,PALL
3211,ZEAL.CO
3222,NKT.CO
3226,SOXL
3231,SPXS
3240,BAVA.CO
3273,BITC.DE
3299,WDTE.DE
3302,XAIX.DE
3308,NWS.ASX
3314,TWE.ASX
3316,SPK.ASX
3373,A200.ASX
3376,IOZ.ASX
3429,OD7U.DE
3430,SPYU
3565,ERA.PA
3589,PEUG.PA
3670,HYQ.DE
3674,STM.DE
3953,OM3F.DE
4003,AGRO
4015,AXTA
4085,IPGP
4161,SYNA
4238,VOO
4263,WDAY
4267,VUG
4275,LYB
4281,PAYX
4330,DXC
4349,EVRG
4439,TNDM
4443,KRE
4483,PDD
4529,OCI.NV
5581,METSO.HE
5593,UBXN.ZU
5642,IDCC
5661,UEIC
5704,CBRL
5759,AKE.PA
5781,KESKOB.HE
5782,KCR.HE
5834,VACN.ZU
5848,ESSITYB.ST
5851,GETIB.ST
5957,SAM
5972,PRG
5987,TFX
6057,OLN
6087,CZR
6113,EGHT
6123,FBP
6126,TXRH
6134,TECH
6176,SHLS
6233,XTIA
6248,VRDN
6253,NBEVQ
6262,PAYS
6294,VKTX
6323,CRIS
6345,NMIH
6363,TPICQ
6383,ATRA
6404,CLNE
6421,ERIC
6428,GLNG
6433,GOOD
6457,LI
6487,OGI
6583,AER
6623,BSM
6626,BW
6646,RPTX.CVR
6656,CPT
6673,DRH
6688,EQNR
6706,FSK
6712,GEL
6727,HHH
6734,TFII
6785,MPLX.US
6903,WPM
7005,WBC.ASX
7025,SHL.ASX
7038,QAN.ASX
7043,DNL.ASX
7045,ORG.ASX
7072,EDV.ASX
7078,VOD.L
7092,SUL.ASX
7132,LOV.ASX
7135,DRR.ASX
7158,BWP.ASX
7807,SHG
7878,IVT
7892,BOOM
7901,BF.A
7924,FLD
7970,DXPE
7994,AMWL
7996,U
7999,SNOW
8594,UDMY
8617,NLOP
8648,PRGS
8674,LOGI
8691,KB
8731,BSY
8736,ARVLF
8745,PAVE
8766,CSCO.RTH
8799,MWOT.DE
8851,DOCN
8886,MP
8890,WWD
8914,HLNE
8948,NEO.US
8981,INDB
8991,TGTX
9014,SF.ST
9034,WDFC
9083,OMCL
9091,FLNC
9094,VNT
9097,AMN
9126,ONB
9248,BKKT
9266,SIMO
9420,NVAX.RTH
9426,LPLA.US
9452,TDW
9460,PECO
9470,FWRD
9493,CALX.US
9505,SIGI
9512,SGML
9523,CCOI
9568,FSS
9580,AD
9610,CCC.US
9637,RYZ
9638,PSNY
9666,AUB
9738,CSTM
9770,ARLO
9778,BJRI
9803,TTMI
9863,HMN
9882,ECPG
9925,MRTN
9935,FRME
9943,LADR
9947,FFBC
9950,INVX
